IP,ERA,WHIP,Player,Year,Team,G,OPS,SLG,OBP
189.0,2.48,1.24,찰리,2013,NC,,,,
,,,김태군,2013,NC,112,0.554,0.274,0.280
,,,이태원,2013,NC,70,0.418,0.171,0.247
91.2,4.12,1.31,아담,2013,NC,,,,
,,,조영훈,2013,NC,120,0.763,0.413,0.350
,,,허준,2013,NC,14,0.431,0.313,0.118
,,,조평호,2013,NC,26,0.736,0.418,0.318
,,,최재원,2013,NC,52,0.469,0.178,0.291
,,,지석훈,2013,NC,104,0.630,0.330,0.300
,,,차화준,2013,NC,58,0.617,0.311,0.306
,,,이상호,2013,NC,103,0.624,0.320,0.304
,,,이현곤,2013,NC,91,0.685,0.324,0.361
,,,모창민,2013,NC,108,0.782,0.443,0.339
,,,노진혁,2013,NC,117,0.603,0.321,0.282
,,,김동건,2013,NC,8,0.489,0.313,0.176
,,,강구성,2013,NC,2,0.000,0.000,0.000
,,,박정준,2013,NC,78,0.692,0.355,0.337
,,,나성범,2013,NC,104,0.735,0.416,0.319
,,,김종호,2013,NC,128,0.709,0.333,0.376
,,,권희동,2013,NC,121,0.672,0.393,0.279
,,,박으뜸,2013,NC,40,0.512,0.222,0.290
,,,이명환,2013,NC,5,0.222,0.111,0.111
,,,이호준,2013,NC,126,0.837,0.475,0.362
,,,김성욱,2013,NC,4,0.500,0.250,0.250
156.0,2.88,1.17,이재학,2013,NC,,,,
57.2,5.15,1.60,이성민,2013,NC,,,,
64.2,3.76,1.13,임창민,2013,NC,,,,
74.2,5.67,1.45,이태양,2013,NC,,,,
34.0,4.76,1.44,김진성,2013,NC,,,,
33.2,4.28,1.54,최금강,2013,NC,,,,
66.1,4.21,1.40,이민호,2013,NC,,,,
164.2,5.47,1.60,소사,2013,KIA,,,,
126.1,4.99,1.55,김진우,2013,KIA,,,,
,,,차일목,2013,KIA,98,0.664,0.307,0.357
,,,김상훈,2013,KIA,49,0.606,0.276,0.330
,,,이홍구,2013,KIA,51,0.469,0.258,0.211
,,,최희섭,2013,KIA,78,0.844,0.464,0.380
,,,김주형,2013,KIA,81,0.690,0.382,0.308
,,,황정립,2013,KIA,21,0.760,0.356,0.404
,,,안치홍,2013,KIA,118,0.645,0.307,0.338
,,,이범호,2013,KIA,122,0.802,0.452,0.350
,,,박기남,2013,KIA,91,0.799,0.420,0.379
,,,김선빈,2013,KIA,88,0.725,0.348,0.377
,,,홍재호,2013,KIA,85,0.533,0.258,0.275
,,,나지완,2013,KIA,125,0.868,0.474,0.394
,,,고영우,2013,KIA,29,0.182,0.091,0.091
,,,김원섭,2013,KIA,42,0.647,0.302,0.345
,,,윤완주,2013,KIA,47,0.360,0.167,0.193
,,,이용규,2013,KIA,100,0.742,0.367,0.375
,,,김주찬,2013,KIA,47,0.777,0.405,0.372
,,,유재혁,2013,KIA,22,0.358,0.091,0.267
,,,신종길,2013,KIA,104,0.792,0.427,0.365
,,,이종환,2013,KIA,42,0.730,0.382,0.348
,,,이준호,2013,KIA,55,0.479,0.233,0.246
105.0,5.23,1.74,임준섭,2013,KIA,,,,
104.2,3.10,1.36,양현종,2013,KIA,,,,
4.2,3.86,2.57,송은범,2013,KIA,,,,
44.1,7.71,1.94,송은범,2013,KIA,,,,
36.0,4.50,1.58,앤서니,2013,KIA,,,,
87.2,4.00,1.36,윤석민,2013,KIA,,,,
62.1,4.48,1.64,박경태,2013,KIA,,,,
52.1,2.92,1.30,유동훈,2013,KIA,,,,
51.2,4.88,1.63,신승현,2013,KIA,,,,
72.0,6.25,1.79,윤근영,2013,한화,,,,
,,,정범모,2013,한화,88,0.644,0.331,0.313
,,,이준수,2013,한화,47,0.510,0.246,0.264
,,,엄태용,2013,한화,39,0.555,0.297,0.258
,,,김태균,2013,한화,101,0.919,0.475,0.444
,,,김태완,2013,한화,93,0.632,0.308,0.324
,,,이양기,2013,한화,56,0.791,0.411,0.380
82.2,3.70,1.27,송창현,2013,한화,,,,
,,,한상훈,2013,한화,101,0.725,0.342,0.383
,,,이학준,2013,한화,97,0.492,0.242,0.250
,,,임익준,2013,한화,36,0.569,0.270,0.299
,,,오선진,2013,한화,92,0.616,0.301,0.315
67.2,5.72,1.34,김광수,2013,한화,,,,
60.2,6.23,1.62,이태양,2013,한화,,,,
,,,이대수,2013,한화,122,0.686,0.356,0.330
,,,송광민,2013,한화,67,0.722,0.400,0.322
,,,김경언,2013,한화,70,0.719,0.364,0.355
,,,추승우,2013,한화,72,0.750,0.367,0.383
,,,강동우,2013,한화,26,0.569,0.269,0.300
,,,정현석,2013,한화,121,0.733,0.368,0.365
,,,고동진,2013,한화,93,0.677,0.327,0.350
172.1,5.59,1.48,이브랜드,2013,한화,,,,
,,,최진행,2013,한화,106,0.826,0.439,0.387
146.2,5.40,1.38,김혁민,2013,한화,,,,
143.2,4.20,1.47,바티스타,2013,한화,,,,
71.0,3.42,1.39,송창식,2013,한화,,,,
71.2,6.78,2.00,유창식,2013,한화,,,,
35.1,6.11,1.27,조지훈,2013,한화,,,,
151.0,4.71,1.53,배영수,2013,삼성,,,,
154.0,4.38,1.34,장원삼,2013,삼성,,,,
170.2,3.27,1.20,윤성환,2013,삼성,,,,
,,,이지영,2013,삼성,113,0.539,0.261,0.278
,,,이정식,2013,삼성,11,0.647,0.412,0.235
,,,진갑용,2013,삼성,101,0.750,0.420,0.330
,,,채태인,2013,삼성,94,1.001,0.542,0.459
,,,강봉규,2013,삼성,32,0.595,0.268,0.327
,,,모상기,2013,삼성,5,0.425,0.125,0.300
,,,조동찬,2013,삼성,74,0.730,0.403,0.327
,,,신명철,2013,삼성,37,0.567,0.250,0.317
,,,김태완,2013,삼성,83,0.804,0.444,0.360
,,,박석민,2013,삼성,117,0.940,0.515,0.425
,,,정병곤,2013,삼성,54,0.488,0.230,0.258
,,,최형우,2013,삼성,128,0.896,0.530,0.366
,,,우동균,2013,삼성,82,0.661,0.338,0.323
,,,이상훈,2013,삼성,15,1.078,0.607,0.471
,,,배영섭,2013,삼성,113,0.774,0.372,0.402
,,,정형식,2013,삼성,120,0.784,0.414,0.370
,,,박찬도,2013,삼성,3,0.500,0.000,0.500
,,,박한이,2013,삼성,112,0.742,0.376,0.366
,,,김헌곤,2013,삼성,7,0.000,0.000,0.000
36.1,3.96,1.40,권혁,2013,삼성,,,,
,,,이승엽,2013,삼성,111,0.693,0.395,0.298
40.0,2.03,1.05,신용운,2013,삼성,,,,
143.2,3.95,1.22,밴덴헐크,2013,삼성,,,,
121.1,3.26,1.38,차우찬,2013,삼성,,,,
63.2,3.11,1.08,안지만,2013,삼성,,,,
51.2,1.74,0.83,오승환,2013,삼성,,,,
50.1,2.68,1.07,심창민,2013,삼성,,,,
51.1,3.33,1.50,정대현,2013,롯데,,,,
,,,강민호,2013,롯데,105,0.742,0.376,0.366
,,,용덕한,2013,롯데,56,0.401,0.193,0.208
,,,김사훈,2013,롯데,17,0.373,0.138,0.235
193.1,3.54,1.37,유먼,2013,롯데,,,,
,,,박종윤,2013,롯데,115,0.681,0.383,0.298
,,,조성환,2013,롯데,74,0.605,0.293,0.312
,,,박준서,2013,롯데,79,0.785,0.411,0.374
,,,황재균,2013,롯데,128,0.739,0.389,0.350
,,,신본기,2013,롯데,99,0.600,0.288,0.312
,,,문규현,2013,롯데,79,0.564,0.257,0.307
,,,박기혁,2013,롯데,31,0.537,0.233,0.304
,,,이승화,2013,롯데,60,0.598,0.276,0.322
,,,김문호,2013,롯데,40,0.709,0.336,0.373
,,,조홍석,2013,롯데,30,0.743,0.375,0.368
,,,전준우,2013,롯데,128,0.747,0.380,0.367
,,,손아섭,2013,롯데,128,0.895,0.474,0.421
,,,장성호,2013,롯데,83,0.728,0.365,0.363
,,,김상호,2013,롯데,25,0.553,0.273,0.280
51.1,5.79,1.68,고원준,2013,롯데,,,,
59.0,3.05,1.12,김성배,2013,롯데,,,,
73.0,5.30,1.66,김승회,2013,롯데,,,,
183.1,3.29,1.27,옥스프링,2013,롯데,,,,
74.1,4.00,1.45,김사율,2013,롯데,,,,
167.2,3.76,1.40,송승준,2013,롯데,,,,
55.2,3.07,1.19,이명우,2013,롯데,,,,
50.2,4.09,1.62,김수완,2013,롯데,,,,
180.1,3.84,1.36,노경은,2013,두산,,,,
,,,양의지,2013,두산,114,0.714,0.376,0.338
,,,최재훈,2013,두산,60,0.758,0.393,0.365
,,,박세혁,2013,두산,18,0.679,0.346,0.333
,,,최준석,2013,두산,100,0.777,0.401,0.376
,,,오재일,2013,두산,55,0.885,0.479,0.406
,,,오재원,2013,두산,113,0.786,0.419,0.367
,,,허경민,2013,두산,75,0.747,0.360,0.387
,,,최주환,2013,두산,47,0.790,0.440,0.350
,,,이원석,2013,두산,85,0.858,0.473,0.385
,,,김동주,2013,두산,28,0.673,0.317,0.356
118.0,3.58,1.20,니퍼트,2013,두산,,,,
,,,윤석민,2013,두산,21,0.798,0.456,0.342
,,,김재호,2013,두산,91,0.768,0.391,0.377
,,,손시헌,2013,두산,93,0.661,0.333,0.328
,,,정수빈,2013,두산,125,0.719,0.382,0.337
,,,김현수,2013,두산,122,0.852,0.470,0.382
,,,임재철,2013,두산,70,0.741,0.321,0.420
,,,이종욱,2013,두산,110,0.808,0.439,0.369
,,,민병헌,2013,두산,119,0.867,0.480,0.387
,,,오현근,2013,두산,6,0.500,0.250,0.250
,,,홍성흔,2013,두산,127,0.818,0.439,0.379
72.0,2.50,1.33,홍상삼,2013,두산,,,,
45.0,4.00,1.44,윤명준,2013,두산,,,,
66.2,4.73,1.61,이재우,2013,두산,,,,
60.2,6.23,1.65,핸킨스,2013,두산,,,,
73.1,2.70,1.15,오현택,2013,두산,,,,
67.0,5.91,1.51,김상현,2013,두산,,,,
145.1,3.53,1.33,유희관,2013,두산,,,,
172.2,4.43,1.57,나이트,2013,넥센,,,,
130.0,4.36,1.44,강윤구,2013,넥센,,,,
101.1,5.15,1.65,김영민,2013,넥센,,,,
161.2,3.73,1.46,밴헤켄,2013,넥센,,,,
,,,박동원,2013,넥센,69,0.546,0.289,0.257
,,,지재옥,2013,넥센,18,0.167,0.000,0.167
,,,허도환,2013,넥센,116,0.608,0.281,0.327
,,,박병호,2013,넥센,128,1.039,0.602,0.437
,,,서건창,2013,넥센,86,0.672,0.320,0.352
,,,김민성,2013,넥센,128,0.801,0.441,0.360
,,,서동욱,2013,넥센,11,0.200,0.000,0.200
,,,서동욱,2013,넥센,93,0.786,0.424,0.362
,,,강정호,2013,넥센,126,0.876,0.489,0.387
,,,신현철,2013,넥센,6,0.384,0.111,0.273
,,,장기영,2013,넥센,115,0.621,0.314,0.307
,,,송지만,2013,넥센,34,0.751,0.412,0.339
,,,이택근,2013,넥센,123,0.758,0.413,0.345
,,,정수성,2013,넥센,37,0.325,0.167,0.158
,,,유한준,2013,넥센,97,0.744,0.386,0.358
,,,문우람,2013,넥센,69,0.799,0.426,0.373
,,,이성열,2013,넥센,92,0.796,0.468,0.328
,,,안태영,2013,넥센,12,0.905,0.500,0.405
,,,유재신,2013,넥센,75,0.504,0.200,0.304
67.1,3.21,1.32,한현희,2013,넥센,,,,
6.0,1.50,1.00,송신영,2013,넥센,,,,
55.2,3.40,1.42,송신영,2013,넥센,,,,
69.0,3.00,1.35,이정훈,2013,넥센,,,,
75.1,5.26,1.42,김병현,2013,넥센,,,,
62.2,2.30,1.12,손승락,2013,넥센,,,,
39.2,4.31,1.36,이보근,2013,넥센,,,,
111.2,3.87,1.42,류제국,2013,LG,,,,
75.2,6.30,1.64,주키치,2013,LG,,,,
,,,윤요섭,2013,LG,89,0.580,0.274,0.306
,,,현재윤,2013,LG,53,0.685,0.340,0.345
,,,최경철,2013,LG,38,0.638,0.321,0.317
,,,김용의,2013,LG,109,0.725,0.379,0.346
,,,문선재,2013,LG,93,0.694,0.378,0.316
,,,이병규,2013,LG,74,0.765,0.375,0.390
,,,손주인,2013,LG,125,0.701,0.356,0.345
,,,김영관,2013,LG,2,0.000,0.000,0.000
,,,서동욱,2013,LG,11,0.200,0.000,0.200
,,,서동욱,2013,LG,93,0.786,0.424,0.362
,,,정성훈,2013,LG,121,0.842,0.437,0.405
,,,권용관,2013,LG,68,0.720,0.404,0.316
,,,오지환,2013,LG,124,0.746,0.399,0.347
,,,정의윤,2013,LG,116,0.713,0.381,0.332
,,,정주현,2013,LG,61,0.653,0.313,0.340
,,,이천웅,2013,LG,8,0.191,0.100,0.091
,,,박용택,2013,LG,125,0.828,0.435,0.393
,,,이대형,2013,LG,102,0.606,0.294,0.312
,,,양영동,2013,LG,48,0.542,0.256,0.286
47.2,3.78,1.68,정현욱,2013,LG,,,,
,,,이진영,2013,LG,106,0.819,0.429,0.390
,,,임도현,2013,LG,1,0.000,0.000,0.000
,,,최승준,2013,LG,2,0.000,0.000,0.000
,,,이병규,2013,LG,74,0.765,0.375,0.390
,,,최동수,2013,LG,2,0.000,0.000,0.000
147.1,3.91,1.31,우규민,2013,LG,,,,
122.2,4.26,1.29,신정락,2013,LG,,,,
72.0,3.00,1.32,이동현,2013,LG,,,,
61.0,1.33,1.16,봉중근,2013,LG,,,,
50.1,4.47,1.29,임정우,2013,LG,,,,
44.0,4.70,1.64,임찬규,2013,LG,,,,
202.2,3.06,1.19,리즈,2013,LG,,,,
49.0,1.65,1.31,박정배,2013,SK,,,,
,,,조인성,2013,SK,88,0.606,0.362,0.244
43.1,3.32,1.29,윤길현,2013,SK,,,,
,,,정상호,2013,SK,82,0.793,0.433,0.360
,,,박경완,2013,SK,8,0.413,0.263,0.150
,,,박정권,2013,SK,110,0.895,0.501,0.394
